iter	Passed	Remaining
683	8989	4152
684	9003	4140
685	9016	4127
686	9029	4113
687	9041	4100
688	9055	4087
689	9068	4074
690	9081	4061
691	9092	4047
692	9105	4033
693	9116	4019
694	9128	4005
695	9139	3991
696	9150	3977
697	9163	3964
698	9173	3950
699	9183	3935
700	9194	3921
701	9205	3907
702	9216	3893
703	9227	3879
704	9239	3866
705	9254	3853
706	9267	3840
707	9280	3827
708	9292	3813
709	9304	3800
710	9317	3787
711	9330	3774
712	9341	3760
713	9352	3746
714	9364	3732
715	9377	3719
716	9388	3705
717	9400	3692
718	9412	3678
719	9424	3664
720	9436	3651
721	9449	3638
722	9459	3624
723	9472	3610
724	9482	3596
725	9494	3583
726	9506	3570
727	9519	3556
728	9532	3543
729	9543	3529
730	9554	3515
731	9567	3502
732	9578	3489
733	9591	3475
734	9604	3462
735	9615	3449
736	9628	3435
737	9639	3422
738	9651	3408
739	9663	3395
740	9676	3382
741	9690	3369
742	9701	3355
743	9715	3342
744	9728	3329
745	9741	3316
746	9755	3304
747	9768	3291
748	9782	3278
749	9796	3265
750	9809	3252
751	9820	3238
752	9833	3225
753	9845	3212
754	9856	3198
755	9867	3184
756	9878	3170
757	9889	3157
758	9901	3143
759	9911	3129
760	9921	3115
761	9932	3102
762	9942	3088
763	9953	3074
764	9964	3061
765	9977	3047
766	9989	3034
767	10000	3021
768	10012	3007
769	10021	2993
770	10032	2979
771	10043	2966
772	10053	2952
773	10064	2938
774	10076	2925
775	10087	2911
776	10099	2898
777	10110	2884
778	10120	2871
779	10131	2857
780	10142	2844
781	10151	2830
782	10162	2816
783	10173	2802
784	10184	2789
785	10193	2775
786	10203	2761
787	10213	2747
788	10224	2734
789	10234	2720
790	10245	2707
791	10255	2693
792	10266	2679
793	10277	2666
794	10288	2653
795	10299	2639
796	10310	2626
797	10320	2612
798	10330	2598
799	10341	2585
800	10351	2571
801	10361	2557
802	10372	2544
803	10382	2531
804	10391	2517
805	10401	2503
806	10411	2490
807	10422	2476
808	10431	2462
809	10441	2449
810	10452	2435
811	10463	2422
812	10473	2409
813	10482	2395
814	10492	2381
815	10502	2368
816	10513	2354
817	10524	2341
818	10534	2328
819	10544	2314
820	10553	2300
821	10562	2287
822	10570	2273
823	10580	2259
824	10590	2246
825	10599	2232
826	10608	2219
827	10619	2206
828	10629	2192
829	10639	2179
830	10649	2165
831	10659	2152
832	10670	2139
833	10682	2126
834	10691	2112
835	10702	2099
836	10713	2086
837	10724	2073
838	10735	2060
839	10746	2046
840	10757	2033
841	10769	2020
842	10778	2007
843	10789	1994
844	10798	1980
845	10809	1967
846	10820	1954
847	10830	1941
848	10839	1927
849	10849	1914
850	10859	1901
851	10868	1887
852	10879	1874
853	10889	1861
854	10899	1848
855	10909	1835
856	10919	1822
857	10928	1808
858	10939	1795
859	10949	1782
